postprocess,bias,grouping,budget,per_group,low_mean,high_mean,delta,one_sided_t,one_sided_p,cohen_d,decision_p005,decision_p001
blur_r05,correct_dct_4_5,correct_key,1000,500,0.17838138341903687,0.4512210190296173,0.27283963561058044,4.3652091455398905,7.097807118263217e-06,0.27608010278099615,True,True
blur_r05,wrong_dct_1_7,correct_key,400,200,0.053868360817432404,-0.0388353131711483,-0.0927036702632904,-0.9792386050751982,0.8359144065318418,-0.09792385158100794,False,False
blur_r05,wrong_dct_1_7,correct_key,650,325,-0.02612241916358471,-0.03807805851101875,-0.011955639347434044,-0.15690499128121596,0.5623111009846861,-0.012308642864108127,False,False
blur_r05,wrong_dct_1_7,correct_key,1000,500,-0.0181466992944479,-0.01556921936571598,0.0025774799287319183,0.0437365751695784,0.48256224399485953,0.002766143343465568,False,False
blur_r05,wrong_dct_7_1,correct_key,400,200,0.1747998744249344,0.09129003435373306,-0.08350984007120132,-0.9793299120925819,0.8359529569956301,-0.09793299295281875,False,False
blur_r05,wrong_dct_7_1,correct_key,650,325,0.17865099012851715,0.02275109477341175,-0.15589989721775055,-2.1648793027047613,0.9845898958503789,-0.16982707999840888,False,False
blur_r05,wrong_dct_7_1,correct_key,1000,500,0.12814071774482727,0.04286457970738411,-0.08527614176273346,-1.5094830453575365,0.934231546944337,-0.0954680770878833,False,False
blur_r05,wrong_dct_6_6,correct_key,400,200,-0.021666230633854866,-0.10485018789768219,-0.08318395912647247,-1.0871785007190558,0.8611379322945932,-0.10871786995987538,False,False
blur_r05,wrong_dct_6_6,correct_key,650,325,-0.05136655271053314,-0.09455697983503342,-0.043190427124500275,-0.7742487299716662,0.7804505667586905,-0.06073706708543069,False,False
blur_r05,wrong_dct_6_6,correct_key,1000,500,-0.026638256385922432,-0.046396903693675995,-0.019758647307753563,-0.43930874584844376,0.669728898429435,-0.02778432346736458,False,False
